Time,Close,Open,High,Low,Volume
2020-08-06,3386.46,3380.76,3392.7,3334.33,415300
2020-08-05,3377.56,3363.33,3383.64,3333.88,38580000000
2020-08-04,3371.69,3376.44,3391.07,3352.5,44230000000
2020-08-03,3367.97,3332.18,3368.1,3327.68,40750000000
2020-07-31,3310.01,3280.8,3333.79,3261.61,35380000000
2020-07-30,3286.82,3299.57,3312.45,3282.16,34070000000
2020-07-29,3294.55,3221.99,3294.55,3209.99,32490000000
2020-07-28,3227.96,3226.13,3245.3,3208.49,28940000000
2020-07-27,3205.23,3210.39,3221.98,3174.66,29930000000
2020-07-24,3196.77,3310.65,3319.13,3184.96,42710000000
2020-07-23,3325.11,3306.15,3336.3,3257.83,40700000000
2020-07-22,3333.16,3315.18,3381.98,3311.79,39330000000
2020-07-21,3320.89,3330.55,3336.68,3300.57,35930000000
2020-07-20,3314.15,3243.91,3314.15,3220.68,41860000000
2020-07-17,3214.13,3214.4,3252.78,3181.27,35970000000
2020-07-16,3210.1,3356.36,3373.53,3209.73,49060000000
2020-07-15,3361.3,3422.08,3432.45,3345.75,49200000000
2020-07-14,3414.62,3435.02,3451.22,3366.08,54320000000
2020-07-13,3443.29,3379.39,3458.79,3369.04,55800000000
2020-07-10,3383.32,3418.93,3433.11,3372.51,55610000000
2020-07-09,3450.59,3403.48,3456.97,3393.64,62000000000
2020-07-08,3403.44,3337.55,3421.53,3327.71,58710000000
2020-07-07,3345.34,3380.95,3407.08,3336.24,65780000000
2020-07-06,3332.88,3187.84,3337.27,3187.84,64390000000
2020-07-03,3152.81,3104,3152.81,3104,45880000000
2020-07-02,3090.57,3023.72,3092.44,3021.67,39110000000
2020-07-01,3025.98,2991.18,3026.19,2984.98,27330000000
2020-06-30,2984.67,2965.11,2990.83,2965.11,21500000000
2020-06-29,2961.52,2973.08,2977.91,2951.77,22060000000
2020-06-24,2979.55,2972.98,2982.94,2971.22,21320000000
2020-06-23,2970.62,2960.89,2972.4,2949.85,22520000000
2020-06-22,2965.27,2966.9,2983.44,2959.03,26790000000
2020-06-19,2967.63,2938.79,2973.32,2935.82,26430000000
2020-06-18,2939.32,2929.88,2942.9,2920.11,25870000000
2020-06-17,2935.87,2932.67,2936.62,2919.04,23470000000
2020-06-16,2931.75,2912.83,2931.78,2909.13,22330000000
2020-06-15,2890.03,2908.28,2922.54,2890.03,24320000000
2020-06-12,2919.74,2876.8,2930.25,2872.62,23600000000
2020-06-11,2920.9,2939.79,2952.65,2912.19,23370000000
2020-06-10,2943.75,2951.28,2951.33,2934.84,20790000000
2020-06-09,2956.11,2939.54,2957.12,2932.94,20900000000
2020-06-08,2937.77,2941.98,2950.07,2934.21,23110000000
2020-06-05,2930.8,2923.19,2930.8,2909.12,21740000000
2020-06-04,2919.25,2931.84,2932.97,2910.75,22660000000
2020-06-03,2923.37,2930.39,2942.76,2922.66,25570000000
2020-06-02,2921.4,2916.32,2926.36,2909.13,25610000000
2020-06-01,2915.43,2871.96,2917.15,2871.96,26020000000
2020-05-29,2852.35,2835.58,2855.38,2829.63,20680000000
2020-05-28,2846.22,2838.21,2861.92,2820.15,20750000000
2020-05-27,2836.8,2847.32,2849,2831.93,19810000000
2020-05-26,2846.55,2827.9,2848.34,2825.9,17460000000
2020-05-25,2817.97,2816.24,2821.5,2802.47,17290000000
2020-05-22,2813.77,2863.05,2863.05,2808.02,20910000000
2020-05-21,2867.92,2890.72,2891.52,2864.21,20350000000
2020-05-20,2883.74,2896.47,2896.47,2876.18,21050000000
2020-05-19,2898.58,2897.69,2900.22,2887.58,19720000000
2020-05-18,2875.42,2872.52,2889.98,2862.27,22600000000
2020-05-15,2868.46,2880.71,2884.22,2863.37,18900000000
